price,bedrooms,bathrooms,balcony,property_age,major_location,built_up_area,furnishing_type,location,latitude,longitude,price_per_sqft
0.28,1,1,2,New_property,Virar West,718.0,Unfurnished,Virar West,19.4558,72.7947,3900.0
0.28,1,1,2,New_property,Virar West,736.0,Unfurnished,Virar West,19.4558,72.7947,3804.0
0.28,1,1,3,New_property,Naigaon East,580.0,Unfurnished,Naigaon East,19.3667,72.8333,4828.0
0.28,1,1,3,New_property,Naigaon East,600.0,Unfurnished,Naigaon East,19.3667,72.8333,4667.0
0.28,1,1,3,New_property,Nalasopara West,595.0,Furnished,Nalasopara West,19.4167,72.85,4706.0
0.28,1,1,3,New_property,Nalasopara West,530.0,Furnished,Nalasopara West,19.4167,72.85,5283.0
0.28,1,1,3,New_property,Nalasopara West,560.0,Furnished,Nalasopara West,19.4167,72.85,5000.0
0.28,1,2,1,Relatively New,Virar West,580.0,Unfurnished,Virar West,19.4558,72.7947,4828.0
0.28,1,2,1,New_property,Nalasopara West,450.0,Unfurnished,Nalasopara West,19.4167,72.85,6222.0
0.28,1,2,1,New_property,Nalasopara West,580.0,Unfurnished,Nalasopara West,19.4167,72.85,4828.0
0.28,1,2,1,New_property,Nalasopara West,582.0,Unfurnished,Nalasopara West,19.4167,72.85,4811.0
0.28,1,2,1,New_property,Nalasopara West,610.0,Furnished,Nalasopara West,19.4167,72.85,4590.0
0.28,1,2,1,New_property,Nalasopara West,610.0,Unfurnished,Nalasopara West,19.4167,72.85,4590.0
0.28,1,2,1,New_property,Virar West,600.0,Furnished,Virar West,19.4558,72.7947,4667.0
0.28,1,2,1,New_property,Virar West,620.0,Furnished,Virar West,19.4558,72.7947,4516.0
0.28,1,2,1,New_property,Virar West,750.0,Furnished,Virar West,19.4558,72.7947,3733.0
0.28,1,2,2,New_property,Virar West,675.0,Furnished,Virar West,19.4558,72.7947,4148.0
0.28,1,2,2,New_property,Nalasopara West,600.0,Furnished,Nalasopara West,19.4167,72.85,4667.0
0.28,1,2,2,New_property,Nalasopara West,640.0,Furnished,Nalasopara West,19.4167,72.85,4375.0
0.28,1,2,2,New_property,Virar West,650.0,Furnished,Virar West,19.4558,72.7947,4308.0
0.28,1,3,0,New_property,Naigaon East,550.0,Unfurnished,Naigaon East,19.3667,72.8333,5091.0
0.28,2,1,3,New_property,Boisar,840.0,Unfurnished,Boisar,19.8,72.75,3333.0
0.29,1,1,0,New_property,Nalasopara West,560.0,Unfurnished,Nalasopara West,19.4167,72.85,5179.0
0.29,1,1,1,Relatively New,Virar West,585.0,Unfurnished,Virar West,19.4558,72.7947,4957.0
0.29,1,1,1,New_property,Nalasopara West,595.0,Unfurnished,Nalasopara West,19.4167,72.85,4874.0
0.29,1,1,1,New_property,Virar West,613.0,Unfurnished,Virar West,19.4558,72.7947,4731.0
0.29,1,1,1,New_property,Virar West,620.0,Unfurnished,Virar West,19.4558,72.7947,4677.0
0.29,1,1,1,New_property,Virar West,650.0,Unfurnished,Virar West,19.4558,72.7947,4462.0
0.29,1,1,2,Relatively New,Virar West,485.0,Furnished,Virar West,19.4558,72.7947,5979.0
0.29,1,1,2,New_property,Nalasopara West,610.0,Furnished,Nalasopara West,19.4167,72.85,4754.0
0.29,1,1,2,New_property,Virar West,880.0,Furnished,Virar West,19.4558,72.7947,3295.0
0.29,1,1,2,New_property,Naigaon East,610.0,Unfurnished,Naigaon East,19.3667,72.8333,4754.0
0.29,1,1,2,New_property,Nalasopara East,600.0,Furnished,Nalasopara East,19.4167,72.8667,4833.0
0.29,1,1,2,New_property,Nalasopara West,590.0,Furnished,Nalasopara West,19.4167,72.85,4915.0
0.29,1,1,2,New_property,Nalasopara West,595.0,Furnished,Nalasopara West,19.4167,72.85,4874.0
0.29,1,1,2,New_property,Nalasopara West,595.0,Unfurnished,Nalasopara West,19.4167,72.85,4874.0
0.29,1,1,2,New_property,Virar West,400.0,Unfurnished,Virar West,19.4558,72.7947,7250.0
0.29,1,1,2,New_property,Virar West,635.0,Furnished,Virar West,19.4558,72.7947,4567.0
0.29,1,1,2,New_property,Virar West,650.0,Furnished,Virar West,19.4558,72.7947,4462.0
0.29,1,1,2,New_property,Virar West,738.0,Furnished,Virar West,19.4558,72.7947,3930.0
0.29,1,1,2,New_property,Virar West,760.0,Furnished,Virar West,19.4558,72.7947,3816.0
0.29,1,1,3,New_property,Naigaon East,630.0,Unfurnished,Naigaon East,19.3667,72.8333,4603.0
0.29,1,1,3,New_property,Nalasopara West,590.0,Unfurnished,Nalasopara West,19.4167,72.85,4915.0
0.29,1,2,1,New_property,Nalasopara West,575.0,Furnished,Nalasopara West,19.4167,72.85,5043.0
0.29,1,2,1,New_property,Naigaon East,530.0,Unfurnished,Naigaon East,19.3667,72.8333,5472.0
0.29,1,2,1,New_property,Naigaon East,610.0,Unfurnished,Naigaon East,19.3667,72.8333,4754.0
0.29,1,2,1,New_property,Nalasopara West,595.0,Furnished,Nalasopara West,19.4167,72.85,4874.0
0.29,1,2,1,New_property,Nalasopara West,600.0,Furnished,Nalasopara West,19.4167,72.85,4833.0
0.29,1,2,1,New_property,Virar West,640.0,Furnished,Virar West,19.4558,72.7947,4531.0
0.29,1,2,1,New_property,Virar West,650.0,Furnished,Virar West,19.4558,72.7947,4462.0
0.29,1,2,2,New_property,Virar West,685.0,Furnished,Virar West,19.4558,72.7947,4234.0
0.29,1,2,2,New_property,Nalasopara West,630.0,Furnished,Nalasopara West,19.4167,72.85,4603.0
0.29,1,2,2,New_property,Virar West,550.0,Furnished,Virar West,19.4558,72.7947,5273.0
0.29,1,2,2,New_property,Virar West,590.0,Furnished,Virar West,19.4558,72.7947,4915.0
0.29,1,2,2,New_property,Virar West,630.0,Furnished,Virar West,19.4558,72.7947,4603.0
0.29,1,2,2,New_property,Virar West,700.0,Unfurnished,Virar West,19.4558,72.7947,4143.0
0.29,1,2,3,New_property,Virar West,650.0,Unfurnished,Virar West,19.4558,72.7947,4462.0
0.29,1,2,3,New_property,Naigaon East,560.0,Unfurnished,Naigaon East,19.3667,72.8333,5179.0
0.29,1,3,0,New_property,Naigaon East,610.0,Unfurnished,Naigaon East,19.3667,72.8333,4754.0
0.29,1,3,0,New_property,Nalasopara West,595.0,Unfurnished,Nalasopara West,19.4167,72.85,4874.0
0.29,1,3,0,New_property,Virar West,464.0,Furnished,Virar West,19.4558,72.7947,6250.0
0.3,1,1,0,New_property,Nalasopara West,510.0,Furnished,Nalasopara West,19.4167,72.85,5882.0
0.3,1,1,0,New_property,Virar West,650.0,Furnished,Virar West,19.4558,72.7947,4615.0
0.3,1,1,1,New_property,Nalasopara West,595.0,Unfurnished,Nalasopara West,19.4167,72.85,5042.0
0.3,1,1,1,New_property,Nalasopara West,610.0,Furnished,Nalasopara West,19.4167,72.85,4918.0
0.3,1,1,1,New_property,Nalasopara West,520.0,Furnished,Nalasopara West,19.4167,72.85,5769.0
0.3,1,1,1,New_property,Virar West,613.0,Furnished,Virar West,19.4558,72.7947,4894.0
0.3,1,1,1,New_property,Virar West,750.0,Furnished,Virar West,19.4558,72.7947,4000.0
0.3,1,1,2,New_property,Nalasopara West,565.0,Furnished,Nalasopara West,19.4167,72.85,5310.0
0.3,1,1,2,New_property,Nalasopara West,595.0,Furnished,Nalasopara West,19.4167,72.85,5042.0
0.3,1,1,2,New_property,Virar West,762.0,Unfurnished,Virar West,19.4558,72.7947,3937.0
0.3,1,1,2,New_property,Naigaon East,610.0,Furnished,Naigaon East,19.3667,72.8333,4918.0
0.3,1,1,2,New_property,Nalasopara West,580.0,Furnished,Nalasopara West,19.4167,72.85,5172.0
0.3,1,1,2,New_property,Nalasopara West,584.0,Furnished,Nalasopara West,19.4167,72.85,5137.0
0.3,1,1,2,New_property,Nalasopara West,590.0,Furnished,Nalasopara West,19.4167,72.85,5085.0
0.3,1,1,2,New_property,Nalasopara West,600.0,Furnished,Nalasopara West,19.4167,72.85,5000.0
0.3,1,1,2,New_property,Virar West,400.0,Unfurnished,Virar West,19.4558,72.7947,7500.0
0.3,1,1,2,New_property,Virar West,650.0,Furnished,Virar West,19.4558,72.7947,4615.0
0.3,1,1,2,New_property,Virar West,660.0,Furnished,Virar West,19.4558,72.7947,4545.0
0.3,1,1,3,Relatively New,Naigaon East,540.0,Unfurnished,Naigaon East,19.3667,72.8333,5556.0
0.3,1,1,3,New_property,Naigaon East,535.0,Furnished,Naigaon East,19.3667,72.8333,5607.0
0.3,1,1,3,New_property,Naigaon East,560.0,Unfurnished,Naigaon East,19.3667,72.8333,5357.0
0.3,1,1,3,New_property,Naigaon East,570.0,Unfurnished,Naigaon East,19.3667,72.8333,5263.0
0.3,1,1,3,New_property,Naigaon East,580.0,Furnished,Naigaon East,19.3667,72.8333,5172.0
0.3,1,2,0,New_property,Virar West,675.0,Furnished,Virar West,19.4558,72.7947,4444.0
0.3,1,2,1,Mid Age,Nalasopara West,530.0,Furnished,Nalasopara West,19.4167,72.85,5660.0
0.3,1,2,1,New_property,Nalasopara West,660.0,Furnished,Nalasopara West,19.4167,72.85,4545.0
0.3,1,2,1,New_property,Virar West,625.0,Furnished,Virar West,19.4558,72.7947,4800.0
0.3,1,2,1,New_property,Naigaon East,610.0,Unfurnished,Naigaon East,19.3667,72.8333,4918.0
0.3,1,2,1,New_property,Nalasopara West,590.0,Furnished,Nalasopara West,19.4167,72.85,5085.0
0.3,1,2,1,New_property,Nalasopara West,595.0,Unfurnished,Nalasopara West,19.4167,72.85,5042.0
0.3,1,2,1,New_property,Virar West,400.0,Unfurnished,Virar West,19.4558,72.7947,7500.0
0.3,1,2,1,New_property,Virar West,600.0,Furnished,Virar West,19.4558,72.7947,5000.0
0.3,1,2,1,New_property,Virar West,630.0,Furnished,Virar West,19.4558,72.7947,4762.0
0.3,1,2,1,New_property,Virar West,650.0,Furnished,Virar West,19.4558,72.7947,4615.0
0.3,1,2,1,New_property,Virar West,675.0,Furnished,Virar West,19.4558,72.7947,4444.0
0.3,1,2,2,New_property,Naigaon East,600.0,Furnished,Naigaon East,19.3667,72.8333,5000.0
0.3,1,2,2,New_property,Nalasopara West,650.0,Furnished,Nalasopara West,19.4167,72.85,4615.0
0.3,1,2,2,New_property,Virar West,650.0,Furnished,Virar West,19.4558,72.7947,4615.0
0.3,1,2,2,New_property,Nalasopara West,590.0,Furnished,Nalasopara West,19.4167,72.85,5085.0
0.3,1,2,2,New_property,Nalasopara West,594.0,Furnished,Nalasopara West,19.4167,72.85,5051.0
0.3,1,2,2,New_property,Virar West,555.0,Furnished,Virar West,19.4558,72.7947,5405.0
0.3,1,2,2,New_property,Virar West,650.0,Unfurnished,Virar West,19.4558,72.7947,4615.0
0.3,1,3,0,New_property,Nalasopara East,660.0,Furnished,Nalasopara East,19.4167,72.8667,4545.0
0.3,1,3,0,New_property,Naigaon East,560.0,Furnished,Naigaon East,19.3667,72.8333,5357.0
0.3,1,3,0,New_property,Naigaon East,590.0,Furnished,Naigaon East,19.3667,72.8333,5085.0
0.3,1,3,0,New_property,Naigaon East,619.0,Unfurnished,Naigaon East,19.3667,72.8333,4847.0
0.31,1,1,0,New_property,Naigaon East,610.0,Furnished,Naigaon East,19.3667,72.8333,5082.0
0.31,1,1,0,New_property,Nalasopara West,560.0,Furnished,Nalasopara West,19.4167,72.85,5536.0
0.31,1,1,0,New_property,Virar West,560.0,Furnished,Virar West,19.4558,72.7947,5536.0
0.31,1,1,0,New_property,Virar West,600.0,Unfurnished,Virar West,19.4558,72.7947,5167.0
0.31,1,1,0,New_property,Virar West,610.0,Unfurnished,Virar West,19.4558,72.7947,5082.0
0.31,1,1,1,New_property,Nalasopara West,650.0,Furnished,Nalasopara West,19.4167,72.85,4769.0
0.31,1,1,2,Relatively New,Nalasopara West,585.0,Furnished,Nalasopara West,19.4167,72.85,5299.0
0.31,1,1,2,New_property,Virar West,880.0,Furnished,Virar West,19.4558,72.7947,3523.0
0.31,1,1,2,New_property,Naigaon East,560.0,Furnished,Naigaon East,19.3667,72.8333,5536.0
0.31,1,1,2,New_property,Virar West,635.0,Furnished,Virar West,19.4558,72.7947,4882.0
0.31,1,1,2,New_property,Virar West,650.0,Furnished,Virar West,19.4558,72.7947,4769.0
0.31,1,1,2,New_property,Virar West,670.0,Furnished,Virar West,19.4558,72.7947,4627.0
0.31,1,1,3,New_property,Naigaon East,560.0,Unfurnished,Naigaon East,19.3667,72.8333,5536.0
0.31,1,1,3,New_property,Virar West,635.0,Furnished,Virar West,19.4558,72.7947,4882.0
0.31,1,2,0,Relatively New,Vasai East,550.0,Unfurnished,Vasai East,19.3764,72.8225,5636.0
0.31,1,2,1,New_property,Naigaon East,600.0,Furnished,Naigaon East,19.3667,72.8333,5167.0
0.31,1,2,1,New_property,Nalasopara West,640.0,Furnished,Nalasopara West,19.4167,72.85,4844.0
0.31,1,2,1,New_property,Virar West,630.0,Furnished,Virar West,19.4558,72.7947,4921.0
0.31,1,2,2,Relatively New,Naigaon East,480.0,Unfurnished,Naigaon East,19.3667,72.8333,6458.0
0.31,1,2,2,New_property,Virar West,670.0,Furnished,Virar West,19.4558,72.7947,4627.0
0.31,1,2,3,Relatively New,Naigaon East,450.0,Unfurnished,Naigaon East,19.3667,72.8333,6889.0
0.31,1,3,0,New_property,Naigaon East,535.0,Unfurnished,Naigaon East,19.3667,72.8333,5794.0
0.31,1,3,0,New_property,Naigaon East,547.0,Furnished,Naigaon East,19.3667,72.8333,5667.0
0.31,2,2,2,New_property,Nalasopara West,625.0,Furnished,Nalasopara West,19.4167,72.85,4960.0
0.32,1,1,0,New_property,Virar West,472.0,Furnished,Virar West,19.4558,72.7947,6780.0
0.32,1,1,0,New_property,Virar West,600.0,Furnished,Virar West,19.4558,72.7947,5333.0
0.32,1,1,0,New_property,Virar West,610.0,Unfurnished,Virar West,19.4558,72.7947,5246.0
0.32,1,1,0,New_property,Virar West,650.0,Furnished,Virar West,19.4558,72.7947,4923.0
0.32,1,1,1,New_property,Naigaon East,618.0,Unfurnished,Naigaon East,19.3667,72.8333,5178.0
0.32,1,1,1,New_property,Virar West,663.0,Furnished,Virar West,19.4558,72.7947,4827.0
0.32,1,1,2,Relatively New,Naigaon East,432.0,Unfurnished,Naigaon East,19.3667,72.8333,7407.0
